country,electricity_access,co2_emissions,mortality_rateper1000,export_percent_to_gdp,alternative_and_nuclear energy_percent_total,forest_area_percent,net_migration,male_unemployment,air_transport,brth_rate_per1000,population_in1000s,sanitation_access,trade_in_services_percent_gdp,expense_percent_gdp,gdp_in_millions,life_expectancy_morethan_70
Guinea,26,2596,101,28,,26,-10000,2,,37,12044,19,13,,6624,0
"Gambia, The",35,422,74,,,48,-13476,7,1843,43,1909,60,,,807,0
Guinea-Bissau,61,246,124,16,,71,-10000,7,,37,1746,20,,,1022,0
Equatorial Guinea,66,6689,96,88,,57,20000,8,14144,35,778,,,,14308,0
Greece,100,84048,4,33,4,31,49996,24,109682,9,10958,99,21,54,237592,1
Grenada,91,253,12,27,,50,-4274,,,19,106,98,31,21,882,1
Greenland,100,708,,,,0,,,,15,56,100,,,,
Guatemala,79,11258,31,23,5,33,-75000,2,10195,31,15860,80,10,13,58728,1
Guam,59,,,,,48,0,,,17,168,90,,,,1
Guyana,79,1782,37,,,77,-32770,10,1368,20,804,84,22,,3228,0
High income,100,15233608,6,,12,34,16954933,8,21287021,12,1396073,96,14,29,52906699,1
"Hong Kong SAR, China",100,40275,,220,0,,150000,4,212731,8,7242,,65,,290896,1
Honduras,82,8412,22,47,5,44,-50000,3,24214,26,8261,80,22,23,19385,1
Heavily indebted poor countries (HIPC),29,148712,85,27,4,31,-3305049,5,331938,37,691519,26,15,,632555,0
Croatia,100,20554,5,46,6,34,-20000,18,25161,9,4236,98,29,37,57223,1
Haiti,38,2211,73,15,0,4,-175001,6,,26,10461,24,21,,8713,0
Hungary,100,48492,6,,18,23,75000,10,123709,9,9862,100,30,43,137104,1
Indonesia,96,563985,29,24,8,51,-700000,6,703721,19,252812,59,6,,888538,1
Isle of Man,100,,,,,6,,,,,86,,,,,
India,79,2074345,53,24,3,23,-2294049,4,720050,20,1267402,36,15,16,2066902,0
Not classified,,,,,,,,,,,0,,,,,
Ireland,100,36069,4,,3,11,50000,15,665982,15,4613,99,102,38,245921,1
"Iran, Islamic Rep.",100,586599,17,,1,7,-300001,12,155261,19,78470,89,,,415339,1
Iraq,100,133655,34,,1,2,449998,14,4321,31,34278,85,,,220506,0
Iceland,100,1881,2,53,90,0,5429,6,26907,13,328,100,44,34,17071,1
Israel,100,69523,4,32,5,7,-75985,6,60945,21,8215,100,19,39,304226,1
Italy,100,397994,4,29,7,32,900000,12,243242,9,61336,,10,41,2144338,1
Jamaica,93,7756,17,,1,31,-80000,11,953,14,2721,80,33,34,,1
Jordan,100,22259,19,43,2,1,400002,11,38103,27,6607,98,33,30,35827,1
Japan,100,1187657,3,,3,69,350000,4,927667,8,127132,100,6,19,4601461,1
Kazakhstan,100,261761,16,,1,1,0,4,70810,23,17289,98,8,,212248,0
Kenya,23,13568,71,16,8,6,-50000,8,96780,35,45546,30,,20,60937,0
Kyrgyz Republic,100,6615,24,37,30,5,-175003,7,17390,27,5834,92,29,23,7404,0
Cambodia,31,4496,38,68,1,56,-174997,0,10812,26,15408,37,34,12,16709,1
Kiribati,59,62,58,11,,15,-1000,,,23,104,40,,62,167,0
St. Kitts and Nevis,91,268,10,39,,42,,,,,55,,47,28,833,
"Korea, Rep.",100,589426,4,51,15,64,300000,3,377749,9,50424,100,16,,1410383,1
Kosovo,100,,,20,0,,,,,18,1823,,18,,7274,1
Kuwait,98,91030,10,,0,0,299999,3,28242,21,3479,100,16,32,,1
Latin America & Caribbean (developing only),96,1210407,18,23,11,55,-2956768,5,2206993,18,521946,80,6,,4763935,1
Lao PDR,70,1203,71,40,,68,-74998,2,12724,27,6894,65,12,12,11772,0
Lebanon,100,20488,9,57,1,13,500001,5,23086,13,4510,,62,27,45731,1
Liberia,10,891,71,26,,44,-20000,4,,35,4397,17,59,25,2027,0
Libya,100,39021,15,34,0,0,-238688,15,32723,21,6253,97,13,,41119,1
St. Lucia,91,407,15,45,,77,40,,,15,184,,45,23,1365,1
Latin America & Caribbean (all income levels),96,1776643,18,23,9,47,-3111986,5,2639255,18,622025,82,6,,6298365,1
Least developed countries: UN classification,34,233148,80,26,3,30,-4921359,5,435237,33,918997,36,13,,867877,0
Low income,25,155433,76,24,3,28,-1180987,4,265908,36,613192,27,,,397409,0
Liechtenstein,100,51,,,,43,,,,9,37,,,,,1
Sri Lanka,89,15233,10,22,3,29,-316785,3,32097,18,20639,92,12,18,74941,1
Lower middle income,78,4153014,59,26,5,28,-13440900,5,2666474,23,2843565,49,12,19,5780293,0
Low & middle income,81,17475183,50,27,5,29,-17004655,5,10706313,21,5811662,57,9,,24996779,0
Lesotho,21,2200,98,,,1,-19998,22,,27,2098,30,20,,2088,0
Lithuania,100,13740,5,82,1,35,-28394,13,4380,10,2929,94,27,110,48172,1
Luxembourg,100,10832,2,,0,33,25602,5,42677,11,556,100,246,40,,1
Latvia,100,7800,8,58,7,54,-10000,12,40033,10,1990,,26,20,31921,1
"Macao SAR, China",91,1166,,99,,,35000,2,20158,10,575,,128,11,55502,1
St. Martin (French part),91,,,,,,,,,16,32,,,,,1
Morocco,100,56538,30,35,1,12,-450000,9,70509,23,33493,75,21,35,107005,1
Monaco,100,,4,,,,,,11383,,38,100,,,,
Moldova,100,4980,15,42,1,12,-103050,6,8529,12,3556,87,27,33,7944,0
Madagascar,15,2450,56,,,21,-5000,3,10385,35,23572,14,24,,10593,0
Maldives,100,1104,10,105,,3,-53,7,,22,352,99,117,,3032,1
Middle East & North Africa (all income levels),96,2343429,24,48,1,2,962527,9,1508837,23,409850,90,,,3491394,1
Mexico,99,466549,15,33,6,33,-1200191,5,472636,18,123799,85,4,,1282720,1
Marshall Islands,59,103,38,,,70,,,,,53,76,,,,
Middle income,87,17319834,43,27,5,29,-15823668,5,10440405,19,5198471,60,9,,24597320,0
"Macedonia, FYR",100,9336,7,48,3,40,-4999,29,,11,2108,91,24,29,11324,1
Mali,26,1250,123,,,10,-302449,6,0,47,15768,22,23,14,12074,0
Malta,100,2512,6,,0,1,4512,7,14144,10,427,100,226,42,,1
Myanmar,52,10440,51,,4,48,-100000,3,29358,17,53719,77,6,,64330,0
Middle East & North Africa (developing only),96,1309434,26,,1,2,-1632058,10,540971,24,351375,88,,,1522606,1
Montenegro,100,2571,5,40,12,40,-2500,19,6621,12,622,90,40,,4583,1
Mongolia,90,19079,32,53,0,7,-15001,5,5600,23,2881,56,22,27,12016,0
Northern Mariana Islands,,,,,,65,,,,,55,80,,,,
Mozambique,20,3282,87,27,12,49,-25004,7,20521,39,26473,21,33,25,16386,0
Mauritania,22,2310,90,48,,0,-20000,32,4040,34,3984,27,23,,5061,0
Mauritius,100,3916,14,54,1,17,0,5,12739,11,1261,91,51,21,12616,1
Malawi,10,1206,68,46,,34,0,6,1648,40,16829,10,,,4258,0
Malaysia,100,225693,9,80,1,62,450000,3,438624,18,30188,96,27,22,326933,1
North America,100,5791425,7,,13,34,6100001,8,10843634,12,354463,100,7,24,19211408,1
Namibia,47,2776,50,40,9,9,-3336,15,9197,26,2348,32,14,,13430,0
New Caledonia,59,3854,,,,46,5660,,,17,266,100,,,,1
Niger,14,1423,104,18,,1,-28497,5,1040,50,18535,9,,,8169,0
Nigeria,56,88026,117,16,0,9,-300000,8,66080,41,178517,28,,5,568508,0
Nicaragua,78,4899,24,42,16,25,-120000,7,,23,6169,52,22,15,11806,1
Netherlands,100,168007,4,83,2,11,50006,7,305274,10,16854,100,25,42,869508,1
High income: nonOECD,99,3735956,12,,6,38,4175983,6,2514247,14,326042,83,20,,6259777,1
Norway,100,45533,3,38,42,28,149997,4,,12,5136,100,20,34,500103,1
Nepal,76,4334,40,12,3,25,-400570,3,19568,21,28121,37,11,16,19636,0
New Zealand,100,31232,6,,32,31,75003,6,199128,13,4510,,14,46,,1
High income: OECD,100,11589132,5,,14,31,12778950,8,18772773,11,1070031,100,13,29,46673819,1
OECD members,100,12376521,8,,13,30,11928759,8,19968616,12,1269667,98,13,29,48755319,1
Oman,98,64855,11,,0,0,1029938,7,47668,21,3926,97,16,36,81797,1
Other small states,58,30564,70,52,4,27,-121625,12,,29,20540,50,,,97544,0
Pakistan,94,163453,86,12,4,2,-1634420,4,48395,25,185133,48,6,19,246876,0
Panama,91,9666,18,,11,43,28575,3,125884,19,3926,73,34,,46213,1
Peru,91,53069,17,22,9,53,-300001,4,117813,20,30769,73,6,18,202903,1
Philippines,88,82012,30,29,23,26,-700000,7,225350,24,100096,74,15,16,284582,0
Palau,59,224,18,63,,88,,,,13,21,100,,,251,
Papua New Guinea,18,5229,61,,,63,0,2,34065,29,7476,19,,,,0
Poland,100,317287,5,,1,31,-38090,10,81154,10,37996,,15,34,548003,1
Puerto Rico,91,,,,,64,-103537,16,,11,3548,99,,,,1
"Korea, Dem. Rep.",30,73578,27,,8,45,0,5,3899,14,25027,82,,,,0
Portugal,100,49725,4,40,7,38,99995,16,154875,8,10397,100,18,43,229584,1
Paraguay,98,5299,22,45,,43,-40000,4,5332,24,6918,80,7,21,30985,1
Pacific island small states,52,2448,26,56,,62,-70548,,39904,25,2307,67,45,,8249,0
French Polynesia,59,858,,,,45,-500,,,16,280,97,,,,1
Qatar,98,83875,8,,0,0,499998,0,151703,11,2268,100,19,,211817,1
Romania,100,84832,12,41,12,29,-44999,8,42189,9,19911,,14,34,199044,1
Russian Federation,100,1808073,10,,8,49,1100002,6,747804,13,143820,71,10,26,1860598,1
Rwanda,18,664,52,15,,18,-44999,1,12097,35,12100,64,15,14,7890,0
South Asia,78,2328351,57,22,3,17,-7076435,4,912858,21,1692205,40,13,17,2607871,0
Saudi Arabia,98,520278,16,48,0,0,300000,3,253026,19,29369,100,12,,746249,1
Sudan,33,16579,77,9,3,,-800000,13,6849,33,38764,24,5,,73815,0
Senegal,57,7858,55,27,1,44,-99996,8,4041,38,14548,52,,17,15579,0
Singapore,100,22394,3,188,0,3,400000,3,189110,9,5470,100,92,13,307872,1
Solomon Islands,23,198,30,,,79,-11868,4,11529,31,573,29,36,,1158,0
Sierra Leone,14,898,161,41,,37,-21000,4,,37,6205,13,17,20,4892,0
El Salvador,94,6685,16,,34,13,-225002,8,34432,20,6384,71,15,21,25220,1
San Marino,100,,3,,,0,,,,,32,,,,,
Somalia,33,576,146,,,11,-150000,7,3447,44,10806,,,,,0
Serbia,100,49185,7,44,6,32,-99999,19,31986,9,7129,97,19,39,43866,1
Sub-Saharan Africa (developing only),35,738901,92,29,3,28,-1543285,7,675983,38,961464,30,,23,1712424,0
South Sudan,5,,99,42,,,865000,,,36,11739,9,,,13070,0
Sub-Saharan Africa (all income levels),35,746187,92,29,3,28,-1524836,7,704648,38,962333,30,,23,1728322,0
Small states,66,99883,59,,1,37,-314967,11,247758,25,29886,60,,,174034,0
Sao Tome and Principe,60,103,51,12,,28,-1500,,,34,198,34,26,17,335,0
Suriname,100,1911,23,,,95,-5000,6,3666,18,544,80,14,22,,1
Slovak Republic,100,34374,7,92,27,40,14999,14,713,10,5419,100,15,34,99790,1
Slovenia,100,15405,3,77,26,62,22000,9,16557,10,2062,100,25,42,49416,1
Sweden,100,52145,3,45,48,69,200000,8,,12,9690,100,23,31,570591,1
Swaziland,42,1049,80,,,33,-6000,21,,30,1268,58,26,,3400,0
Sint Maarten (Dutch part),,,,,,,,,,,38,,,,,
Seychelles,100,598,14,84,,88,-1551,,14522,19,92,97,51,26,1406,1
Syrian Arab Republic,96,57671,15,,2,3,-1500000,8,5414,24,23301,96,,,,1
Turks and Caicos Islands,91,191,,,,36,,,,,34,,,,,
Chad,6,539,148,34,,9,-120000,7,75,46,13211,12,,,13922,0
Togo,31,2098,85,50,0,5,-9994,7,10522,36,6993,11,,18,4518,0
Thailand,100,303371,13,75,1,37,100000,1,322950,10,67223,93,29,21,373804,1
Tajikistan,100,2783,48,,64,3,-99999,12,2606,33,8409,94,,,9242,0
Turkmenistan,100,62218,55,,0,9,-24998,11,355,21,5307,99,,,47932,0
Timor-Leste,42,183,55,,,48,-75000,4,,36,1212,39,39,,1552,0
Tonga,96,103,12,18,,13,-8078,,,25,106,91,,,434,1
Trinidad and Tobago,100,49574,21,,0,44,-15000,5,36213,14,1344,92,,,,0
Tunisia,100,25643,15,,1,7,-32941,12,45132,20,10997,90,17,35,,1
Turkey,100,320840,19,28,7,15,350000,9,723207,17,75837,91,9,34,799535,1
Tuvalu,45,,29,,,33,,,,,10,83,58,,,
"Taiwan, China",,,,,,,,,,,0,,,,,
Tanzania,15,7301,52,19,1,37,-150000,2,26032,39,50757,12,13,18,49184,0
Uganda,18,3799,66,20,,14,-150000,3,6846,43,38845,34,20,12,26312,0
Ukraine,100,286228,10,49,20,17,-40006,9,47846,11,45363,94,21,41,131805,1
Upper middle income,99,13166183,20,28,5,29,-2382768,6,7773931,15,2354906,73,8,,18808332,1
Uruguay,100,7774,11,23,10,10,-30000,5,,14,3419,96,12,30,57471,1
United States,100,5305570,7,,12,33,5000002,8,9553214,13,318857,100,7,24,17419000,1
Uzbekistan,100,114861,43,29,2,8,-200000,11,23149,23,30743,100,,,62644,0
St. Vincent and the Grenadines,76,238,19,26,,69,-5000,,,16,109,,32,26,729,1
"Venezuela, RB",100,188817,15,,9,52,40000,7,94564,20,30851,,6,,509964,1
Virgin Islands (U.S.),91,,,,,57,-3604,,,11,104,96,,,,1
Vietnam,99,173211,24,86,7,45,-200002,2,144630,16,90730,75,13,,186205,1
Vanuatu,27,143,17,,,36,0,,10856,27,258,58,59,,,1
West Bank and Gaza,98,2248,22,18,,2,-43750,24,,30,4295,94,13,,12738,1
World,85,34649483,46,,8,31,0,6,31993334,19,7207735,64,12,29,77868768,1
Samoa,100,235,18,,,60,-12690,,,26,192,92,37,0,801,1
"Yemen, Rep.",48,22295,51,,0,1,-135000,10,16049,31,24969,53,11,,,0
South Africa,85,477242,44,31,3,8,-100000,22,195714,21,54002,74,10,33,349817,0
"Congo, Dem. Rep.",16,3425,119,33,3,68,-75000,7,12849,43,69360,31,9,,32962,0
Zambia,22,3047,87,41,11,66,-40000,15,7686,43,15021,43,8,,27066,0
Zimbabwe,40,9861,89,27,5,39,400000,5,25223,31,14599,40,,,13663,0
