Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Stocks traded, total value (current US$)",5.10E+11,2.49E+11,1.97E+11,2.85E+11,3.79E+11,4.34E+11,6.38E+11,1.11E+12,1.05E+12,1.09E+12,1.06E+12,7.40E+11,6.22E+11,,
"Stocks traded, total value (% of GDP)",106.9664639,50.46991652,37.62015402,46.05784123,52.53497239,52.01298009,67.27138751,89.41228345,85.75696131,79.75030476,61.85739045,39.36903572,33.48919643,,
"Stocks traded, turnover ratio (%)",306.4985616,192.9109363,163.3076907,138.8924827,113.6781516,92.22839492,93.07668278,83.96958555,85.18685682,119.3490404,75.61875695,56.2609347,54.63441212,,
"Net bilateral aid flows from DAC donors, Australia (current US$)",10410000,11240000,7550000,7980000,12220000,12780000,980000,5780000,8270000,9580000,16450000,24330000,27770000,,
"Net bilateral aid flows from DAC donors, Austria (current US$)",750000,-340000,570000,-30040000,2420000,8010000,1720000,2560000,2440000,2340000,2150000,1990000,2320000,,
"Net bilateral aid flows from DAC donors, Belgium (current US$)",-1320000,5560000,-5060000,3820000,-19940000,690000,4520000,5310000,17520000,12060000,7170000,5370000,7120000,,
"Net bilateral aid flows from DAC donors, Canada (current US$)",6790000,13400000,16030000,-281450000,33560000,34010000,25460000,21430000,13280000,11540000,7910000,10780000,8900000,,
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",59670000,83770000,97300000,61230000,140400000,187800000,209740000,89620000,122310000,98910000,94260000,84840000,92580000,,
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",18320000,22050000,23610000,24580000,28760000,24630000,20320000,17000000,14650000,12080000,10420000,11100000,10700000,,
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",,,,,,1310000,220000,170000,220000,120000,180000,110000,60000,,
"Net bilateral aid flows from DAC donors, Germany (current US$)",15630000,57500000,-26100000,3520000,-10720000,-68810000,55700000,127970000,147690000,263380000,396930000,496900000,171260000,,
"Net bilateral aid flows from DAC donors, Denmark (current US$)",20850000,19030000,8490000,-64140000,950000,6220000,-8540000,-230000,8590000,7370000,10140000,4240000,-130000,,
"Net bilateral aid flows from DAC donors, Spain (current US$)",-1030000,1190000,-290000,-21310000,9450000,11240000,8910000,12620000,14040000,25340000,11410000,7830000,5680000,,
"Net bilateral aid flows from DAC donors, Finland (current US$)",1080000,2080000,2540000,2420000,-3370000,5780000,3910000,3990000,4320000,7730000,6120000,1360000,4400000,,
"Net bilateral aid flows from DAC donors, France (current US$)",-11620000,-8890000,-135890000,-15360000,-13040000,-13980000,4280000,-48000000,-27170000,-29010000,2830000,75970000,-14550000,,
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",204160000,173880000,343720000,329880000,370150000,579240000,349300000,510530000,613120000,630340000,650340000,453850000,462860000,,
"Net bilateral aid flows from DAC donors, Greece (current US$)",120000,1230000,20000,180000,10000,10000,40000,140000,170000,160000,100000,210000,180000,,
"Net bilateral aid flows from DAC donors, Ireland (current US$)",870000,2280000,1540000,1780000,3150000,6590000,5920000,7040000,6410000,5040000,4260000,4760000,4300000,,
"Net bilateral aid flows from DAC donors, Iceland (current US$)",,,,,,,,,180000,,,,,,
"Net bilateral aid flows from DAC donors, Italy (current US$)",-15580000,-8270000,-20140000,-12540000,-80060000,3490000,2400000,1400000,20230000,15330000,11490000,12470000,4740000,,
"Net bilateral aid flows from DAC donors, Japan (current US$)",368160000,528870000,493640000,325790000,-82050000,71460000,29530000,99890000,599810000,517010000,981140000,796370000,704650000,,
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",140000,450000,430000,1230000,810000,890000,680000,3860000,2500000,750000,1070000,1130000,430000,,
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",2500000,2910000,1950000,2580000,2190000,2330000,2050000,2960000,3340000,3130000,3700000,3090000,2350000,,
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",-8880000,73480000,59370000,43090000,-315790000,72810000,13050000,6850000,4940000,7210000,2480000,970000,2410000,,
"Net bilateral aid flows from DAC donors, Norway (current US$)",8030000,11600000,8460000,8110000,13200000,28690000,18250000,32670000,34880000,16080000,23990000,29350000,37140000,,
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",960000,1040000,690000,1020000,960000,1700000,940000,1260000,1680000,1910000,360000,880000,380000,,
"Net bilateral aid flows from DAC donors, Portugal (current US$)",240000,780000,240000,,290000,390000,390000,520000,440000,420000,390000,460000,380000,,
"Net bilateral aid flows from DAC donors, Sweden (current US$)",15350000,11200000,8160000,18440000,11580000,16460000,17060000,13490000,12310000,9930000,11000000,12200000,13550000,,
"Net bilateral aid flows from DAC donors, Total (current US$)",710150000,988730000,883040000,446790000,155640000,1051560000,863800000,1003900000,1678590000,1676980000,2313860000,2122080000,1607700000,,
"Net bilateral aid flows from DAC donors, United States (current US$)",14550000,-17310000,-3790000,35980000,50510000,57130000,96840000,84870000,52060000,48120000,57380000,81390000,58090000,,
"PPG, bilateral (AMT, current US$)",1754364000,1861450000,1428989000,2454258000,2014806000,1753771000,1450781000,1196804000,1658685000,1451391000,1502729000,2028708000,1681570000,1686287000,3126683000
"PPG, bilateral concessional (AMT, current US$)",1426017000,1518805000,1108862000,2093508000,1734977000,1542637000,1253227000,1021924000,1449108000,1257195000,1294015000,1782868000,1425638000,1465910000,
"IMF repurchases (AMT, current US$)",25391000,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Principal repayments on external debt, long-term + IMF (AMT, current US$)",6727530000,7333423000,11204527000,20210250000,13062103000,19383512000,12412202000,32096775000,23684613000,10990369000,19017651000,22227261000,21201727000,31227958000,
"Principal repayments on external debt, long-term (AMT, current US$)",6702139000,7333423000,11204527000,20210250000,13062103000,19383512000,12412202000,32096775000,23684613000,10990369000,19017651000,22227261000,21201727000,31227958000,44296071000
"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",248633000,2103548000,2384337000,5031339000,5148920000,6914019000,7616540000,23254638000,10237503000,5654139000,13853880000,15404516000,15018541000,18175561000,19707632000
"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",6453506000,5229875000,8820190000,15178911000,7913183000,12469493000,4795662000,8842137000,13447110000,5336230000,5163771000,6822745000,6183186000,13052397000,
"PPG, IBRD (AMT, current US$)",994089000,723609000,3029734000,3616825000,254968000,210445000,259172000,346179000,389940000,454540000,538766000,640609000,674841000,837940000,
"PPG, IDA (AMT, current US$)",366688000,428749000,455837000,527988000,561903000,606860000,653226000,699874000,764398000,798835000,835108000,893160000,924980000,968344000,
"PPG, multilateral (AMT, current US$)",1739914000,1421547000,5263359000,5850037000,2122748000,946851000,1149019000,1195184000,1342137000,1471478000,1656075000,1878771000,2013739000,2317218000,3867167000
"PPG, multilateral concessional (AMT, current US$)",386848000,441100000,466751000,540244000,574890000,620103000,664058000,712450000,777781000,811905000,850300000,909433000,944838000,991856000,
"PPG, official creditors (AMT, current US$)",3494278000,3282997000,6692348000,8304295000,4137554000,2700622000,2599800000,2391988000,3000822000,2922869000,3158804000,3907479000,3695309000,4003505000,6993850000
"PPG, bonds (AMT, current US$)",0,86000000,142444000,5474375000,2307012000,8456706000,1597000000,5313000000,9467560000,587743000,148391000,200000000,0,5553357000,
"PPG, commercial banks (AMT, current US$)",2736318000,1381348000,1842106000,1337032000,1203977000,1181258000,576946000,1118335000,958515000,1801619000,1837190000,2688908000,2275519000,3486474000,1547654000
"PNG, bonds (AMT, current US$)",35000000,315949000,490295000,332272000,83134000,117296000,56978000,409196000,879549000,1679028000,1851270000,2846787000,3678000000,832627000,
"PNG, commercial banks and other creditors (AMT, current US$)",213633000,1787599000,1894042000,4699067000,5065786000,6796723000,7559562000,22845442000,9357954000,3975111000,12002610000,12557729000,11340541000,17342934000,
"PPG, other private creditors (AMT, current US$)",222910000,479530000,143292000,63209000,264640000,130907000,21916000,18814000,20213000,23999000,19386000,26358000,212358000,9061000,2475000
"PPG, private creditors (AMT, current US$)",2959228000,1946878000,2127842000,6874616000,3775629000,9768871000,2195862000,6450149000,10446288000,2413361000,2004967000,2915266000,2487877000,9048892000,17594589000
"Principal arrears, public and publicly guaranteed (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Principal arrears, official creditors (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Principal arrears, private creditors (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Principal forgiven (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Principal rescheduled (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Principal rescheduled, official (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Principal rescheduled, private (current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Commitments, public and publicly guaranteed (COM, current US$)",10706826000,5395478000,4863289000,3233527000,3539724000,3339530000,6801264000,11986287000,8416496000,15175015000,13813484000,19657320000,13809645000,16960672000,
"Commitments, IBRD (COM, current US$)",1495270000,1649000000,1268000000,1076000000,110000000,0,0,2066500000,600000000,5811000000,2033740000,3724000000,420000000,277700000,
"Commitments, IDA (COM, current US$)",748980000,932988000,1050700000,509620000,193400000,0,800455000,1242500000,600000000,1055008000,2314605000,3420040000,1761300000,1110326000,
"Commitments, official creditors (COM, current US$)",3726656000,5195478000,4338298000,3058527000,3178972000,2817717000,4103259000,8075838000,7102609000,13125506000,8384720000,12921050000,9344932000,5959030000,
"Commitments, private creditors (COM, current US$)",6980170000,200000000,524991000,175000000,360752000,521813000,2698005000,3910449000,1313887000,2049509000,5428764000,6736270000,4464713000,11001642000,
"Currency composition of PPG debt, Deutsche mark (%)",4.1972,,,,,,,,,,,,,,
"Currency composition of PPG debt, Euro (%)",,5.8707,6.1194,9.394,7.8438,7.3506,7.0371,6.4879,5.5254,5.0369,3.9846,3.5974,3.0699,3.6275,
"Currency composition of PPG debt, French franc (%)",1.269,,,,,,,,,,,,,,
"Currency composition of PPG debt, Japanese yen (%)",12.6366,11.8726,12.6766,18.2515,18.8771,20.0407,20.2537,19.0979,22.9463,20.3282,19.7841,19.1665,13.9449,11.9848,
"Currency composition of PPG debt, Multiple currencies (%)",9.3543,8.3571,4.1832,2.9824,1.0619,1.0739,0.9023,2.0499,2.2648,2.0528,1.8195,1.7448,0.8238,0.6783,
"Currency composition of PPG debt, all other currencies (%)",0.9062,0.8204,0.768,0.4082,0.4329,0.461,0.3818,0.3197,0.2296,0.2454,0.2101,0.1585,0.3867,0.4375,
"Currency composition of PPG debt, SDR (%)",0.2719,0.2786,0.2978,0.4251,0.6321,1.5096,1.9105,2.0705,2.408,2.902,2.7682,2.8768,2.4487,2.7424,
"Currency composition of PPG debt, Swiss franc (%)",0.3483,0.3742,0.448,0.4383,0.4095,0.3457,0.292,0.2295,0.1811,0.1305,0.0904,0.2246,0.3257,0.3199,
"Currency composition of PPG debt, Pound sterling (%)",3.845,3.7382,3.4496,4.0715,3.8247,3.6601,3.1156,2.4866,2.0984,1.7342,1.3288,1.1124,0.8156,0.7509,
"Currency composition of PPG debt, U.S. dollars (%)",66.2935,68.6882,72.0574,64.029,66.918,65.5584,66.107,67.258,64.3464,67.57,70.0143,71.119,78.1847,79.4587,
Debt forgiveness or reduction (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PPG, bilateral (DIS, current US$)",914923000,1191455000,970890000,1016334000,1116152000,1013312000,990906000,1509077000,2216325000,1813496000,2319762000,2247489000,1978723000,2454935000,4947771000
"PPG, bilateral concessional (DIS, current US$)",711905000,1037780000,804340000,898853000,1084848000,1007520000,977003000,956803000,1591250000,1582222000,2066223000,2011317000,1943079000,2454935000,
"IMF purchases (DIS, current US$)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Disbursements on external debt, long-term + IMF (DIS, current US$)",10556057000,6252991000,8098941000,18690479000,16414132000,19380273000,32443325000,64525981000,38711577000,26645958000,44629135000,44072558000,49929240000,68893553000,
"Disbursements on external debt, long-term (DIS, current US$)",10556057000,6252991000,8098941000,18690479000,16414132000,19380273000,32443325000,64525981000,38711577000,26645958000,44629135000,44072558000,49929240000,68893553000,11593870000
"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",300000000,2249565000,2658056000,12550082000,8119193000,12750658000,24065723000,48485792000,19887552000,16250301000,19068848000,29207412000,32660667000,56205582000,
"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",10256057000,4003426000,5440885000,6140397000,8294939000,6629615000,8377602000,16040189000,18824025000,10395657000,25560287000,14865146000,17268573000,12687971000,
IDA grants (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PPG, IBRD (DIS, current US$)",706399000,802732000,647319000,684067000,1003789000,863277000,978738000,1002837000,1121509000,1408435000,3333985000,983492000,931642000,840382000,
"PPG, IDA (DIS, current US$)",1054477000,1194762000,885637000,726815000,1092863000,1290097000,1004536000,801982000,961180000,1263153000,1066649000,1699567000,677115000,935549000,
"PPG, multilateral (DIS, current US$)",2355446000,2453989000,1946940000,2083854000,2510760000,2810960000,2731985000,3183813000,3700649000,4157493000,7460021000,5676363000,3190820000,2798236000,4125596000
"PPG, multilateral concessional (DIS, current US$)",1072616000,1212300000,900766000,741581000,1099651000,1306682000,1051840000,817503000,983960000,1305294000,2332239000,3258605000,925868000,970881000,
"PPG, official creditors (DIS, current US$)",3270369000,3645444000,2917830000,3100188000,3626912000,3824272000,3722891000,4692890000,5916974000,5970989000,9779783000,7923852000,5169543000,5253171000,9073367000
"PPG, bonds (DIS, current US$)",5519814000,0,0,2273000000,3814836000,1714181000,2452000000,7389000000,11507150000,1765000000,11050000000,2032397000,7478361000,2044770000,
"PPG, commercial banks (DIS, current US$)",866837000,308905000,2522232000,764038000,852951000,1091162000,2202711000,3830798000,1399901000,2659668000,4730504000,4908897000,4619241000,5390030000,2515245000
"PNG, bonds (DIS, current US$)",0,0,100000000,0,2063508000,2920120000,4548579000,7792838000,593839000,2473388000,1288328000,736660000,664667000,1223586000,
"PNG, commercial banks and other creditors (DIS, current US$)",300000000,2249565000,2558056000,12550082000,6055685000,9830538000,19517144000,40692954000,19293713000,13776913000,17780520000,28470752000,31996000000,54981996000,
"PPG, other private creditors (DIS, current US$)",599037000,49077000,823000,3171000,240000,0,0,127501000,0,0,0,0,1428000,0,28000
"PPG, private creditors (DIS, current US$)",6985688000,357982000,2523055000,3040209000,4668027000,2805343000,4654711000,11347299000,12907051000,4424668000,15780504000,6941294000,12099030000,7434800000,2520503000
"External debt stocks, concessional (DOD, current US$)",38500614000,36993051000,39884001000,43344935000,44256636000,40700897000,42525327000,44554028000,47254322000,48351738000,51934413000,54903505000,53561905000,51662878000,
Concessional debt (% of total external debt),38.0703,37.1793,37.7184,36.4597,35.7935,33.5829,26.6574,21.8341,20.8065,18.8644,17.8071,16.2993,13.5575,12.0831,
"PPG, bilateral (DOD, current US$)",21286432000,18993152000,20283801000,22085076000,21480020000,18647859000,18550595000,20174749000,23216608000,23643325000,26219874000,26922179000,25395224000,23223524000,
"PPG, bilateral concessional (DOD, current US$)",19334162000,17260901000,18572363000,20416183000,20200536000,17657134000,17720689000,18844735000,21508573000,21883265000,24383772000,25095563000,23744926000,21810086000,
"External debt stocks, total (DOD, current US$)",1.01E+11,99499082000,1.06E+11,1.19E+11,1.24E+11,1.21E+11,1.60E+11,2.04E+11,2.27E+11,2.56E+11,2.92E+11,3.37E+11,3.95E+11,4.28E+11,
Total change in external debt stocks (current US$),1067310000,-1631310000,6242530000,13143011000,4759859000,-2449007000,38330048000,44532010000,23055967000,29198730000,35338323000,45194742000,58225833000,32490740000,
"External debt stocks (% of exports of goods, services and primary income)",161.9309309,151.5506983,143.266674,134.6588419,102.2619624,75.63939743,79.16290809,80.74073656,70.81525275,93.34702609,81.46744491,73.78500719,87.06913636,89.26348157,
